temperature,humidity,weather_type,season,upper_wear,lower_wear,footwear,accessories
24.2,62,cloudy,summer,Short-sleeve button-down,Tailored trousers,Canvas shoes,Cap
23.6,79,rainy,fall,Hooded rain jacket,Chinos,Waterproof sneakers,Water-resistant watch
17.2,48,sunny,fall,Oxford shirt + Light jacket,Tailored joggers,Chukka boots,Watch
26.0,48,cloudy,summer,Lightweight polo,Linen trousers,Low-top sneakers,None
24.2,80,stormy,summer,Hooded rain jacket,Tailored trousers,Rain boots,Umbrella
27.8,82,stormy,summer,Light rain jacket,Dark chinos,Rain boots,Umbrella + Cap
21.6,31,sunny,spring,Linen shirt,Chinos,Canvas shoes,Cap
3.3,78,snowy,winter,Wool coat + Sweater,Wool trousers,Waterproof winter boots,Wool scarf + Gloves
17.0,35,sunny,spring,Crewneck sweatshirt,Slim jeans,Chukka boots,Cap
4.6,74,snowy,winter,Wool coat + Sweater,Wool trousers,Waterproof winter boots,Gloves + Beanie
30.3,93,rainy,summer,Quick-dry shirt + Rain shell,Quick-dry chinos,Rain boots,Water-resistant watch
10.6,25,sunny,winter,Puffer jacket,Tailored joggers,Sneakers,Minimal bracelet
14.0,31,windy,spring,Bomber jacket,Chinos,Chukka boots,Watch
-3.6,55,sunny,winter,Wool sweater + Overcoat,Wool trousers,Leather boots,Wool scarf
17.5,80,cloudy,spring,Crewneck sweatshirt,Slim jeans,Loafers,Cap
25.2,52,sunny,summer,Short-sleeve button-down,Jeans,Loafers,Sunglasses + Cap
25.1,59,sunny,summer,Polo shirt,Tailored trousers,Loafers,Cap
16.7,61,cloudy,fall,Long-sleeve Henley,Slim jeans,Chukka boots,Cap
-4.6,87,snowy,winter,Parka + Thermal layer,Thermal-lined jeans,Insulated boots,Beanie + Thermal socks
19.2,78,cloudy,fall,Cotton T-shirt,Tailored trousers,Canvas shoes,None
21.5,93,rainy,fall,Hooded rain jacket,Tailored trousers,Rubber-soled boots,Umbrella + Cap
12.7,58,cloudy,winter,Oxford shirt + Light jacket,Slim jeans,Sneakers,Watch
39.4,48,cloudy,summer,Linen tee,Chino shorts,Slip-on canvas shoes,Cap
25.5,48,sunny,spring,Linen shirt,Tailored trousers,Loafers,Cap
38.2,61,cloudy,summer,Ultra-light T-shirt,Athletic shorts,Sandals,Cap
5.9,42,sunny,winter,Puffer jacket,Chinos,Waterproof sneakers,Watch
8.3,77,misty,fall,Light trench coat,Chinos,Leather boots,Leather gloves
